Sector,SectorID,Segment,SegmentID,SubSegment,SubSegmentID,Examples,KeyMetrics,ValuationMetrics
Clean Technology,SEC48,Sustainable Materials,SEG48,Recycling Tech,SUB48,Example of Recycling Tech,Example Metrics,Example Valuation
Advanced Manufacturing,SEC49,Industry 4.0,SEG49,Smart Factory,SUB49,Example of Smart Factory,Example Metrics,Example Valuation
Advanced Manufacturing,SEC50,Industry 4.0,SEG50,Industrial IoT,SUB50,Example of Industrial IoT,Example Metrics,Example Valuation
Advanced Manufacturing,SEC51,Industry 4.0,SEG51,Predictive Maintenance,SUB51,Example of Predictive Maintenance,Example Metrics,Example Valuation
Advanced Manufacturing,SEC52,Automation,SEG52,Robotic Process Automation,SUB52,Example of Robotic Process Automation,Example Metrics,Example Valuation
Advanced Manufacturing,SEC53,Automation,SEG53,Industrial Robotics,SUB53,Example of Industrial Robotics,Example Metrics,Example Valuation
Advanced Manufacturing,SEC54,Automation,SEG54,Automated Warehousing,SUB54,Example of Automated Warehousing,Example Metrics,Example Valuation
Advanced Manufacturing,SEC55,3D Printing,SEG55,Metal 3D Printing,SUB55,Example of Metal 3D Printing,Example Metrics,Example Valuation
Advanced Manufacturing,SEC56,3D Printing,SEG56,Bioprinting,SUB56,Example of Bioprinting,Example Metrics,Example Valuation
Advanced Manufacturing,SEC57,3D Printing,SEG57,Prototyping,SUB57,Example of Prototyping,Example Metrics,Example Valuation
Agriculture Technology,SEC58,Precision Agriculture,SEG58,Farm Management,SUB58,Example of Farm Management,Example Metrics,Example Valuation
Agriculture Technology,SEC59,Precision Agriculture,SEG59,Smart Irrigation,SUB59,Example of Smart Irrigation,Example Metrics,Example Valuation
Agriculture Technology,SEC60,Precision Agriculture,SEG60,Soil Monitoring,SUB60,Example of Soil Monitoring,Example Metrics,Example Valuation
Agriculture Technology,SEC61,FoodTech,SEG61,Alternative Protein,SUB61,Example of Alternative Protein,Example Metrics,Example Valuation
Agriculture Technology,SEC62,FoodTech,SEG62,Food Safety Tech,SUB62,Example of Food Safety Tech,Example Metrics,Example Valuation
Agriculture Technology,SEC63,FoodTech,SEG63,Food Delivery Tech,SUB63,Example of Food Delivery Tech,Example Metrics,Example Valuation
Agriculture Technology,SEC64,Agri-Supply Chain,SEG64,Agri-Marketplaces,SUB64,Example of Agri-Marketplaces,Example Metrics,Example Valuation
Agriculture Technology,SEC65,Agri-Supply Chain,SEG65,Agri-Finance,SUB65,Example of Agri-Finance,Example Metrics,Example Valuation
Agriculture Technology,SEC66,Agri-Supply Chain,SEG66,Cold Chain Logistics,SUB66,Example of Cold Chain Logistics,Example Metrics,Example Valuation
Education Technology,SEC67,Online Learning,SEG67,K-12 EdTech,SUB67,Example of K-12 EdTech,Example Metrics,Example Valuation
Education Technology,SEC68,Online Learning,SEG68,Higher EdTech,SUB68,Example of Higher EdTech,Example Metrics,Example Valuation
Education Technology,SEC69,Online Learning,SEG69,Vocational Training,SUB69,Example of Vocational Training,Example Metrics,Example Valuation
Education Technology,SEC70,Skill Development,SEG70,Corporate Training,SUB70,Example of Corporate Training,Example Metrics,Example Valuation
Education Technology,SEC71,Skill Development,SEG71,Upskilling Platforms,SUB71,Example of Upskilling Platforms,Example Metrics,Example Valuation
Education Technology,SEC72,Skill Development,SEG72,Job Readiness,SUB72,Example of Job Readiness,Example Metrics,Example Valuation
Education Technology,SEC73,Corporate Training,SEG73,Leadership Training,SUB73,Example of Leadership Training,Example Metrics,Example Valuation
Education Technology,SEC74,Corporate Training,SEG74,Sales Training,SUB74,Example of Sales Training,Example Metrics,Example Valuation
Education Technology,SEC75,Corporate Training,SEG75,Compliance Training,SUB75,Example of Compliance Training,Example Metrics,Example Valuation
Real Estate & PropTech,SEC76,Smart Buildings,SEG76,Home Automation,SUB76,Example of Home Automation,Example Metrics,Example Valuation
Real Estate & PropTech,SEC77,Smart Buildings,SEG77,Smart Energy Management,SUB77,Example of Smart Energy Management,Example Metrics,Example Valuation
Real Estate & PropTech,SEC78,Smart Buildings,SEG78,Building Security,SUB78,Example of Building Security,Example Metrics,Example Valuation
Real Estate & PropTech,SEC79,Real Estate Financing,SEG79,Mortgage Tech,SUB79,Example of Mortgage Tech,Example Metrics,Example Valuation
Real Estate & PropTech,SEC80,Real Estate Financing,SEG80,REIT Platforms,SUB80,Example of REIT Platforms,Example Metrics,Example Valuation
Real Estate & PropTech,SEC81,Real Estate Financing,SEG81,Crowdfunding,SUB81,Example of Crowdfunding,Example Metrics,Example Valuation
Real Estate & PropTech,SEC82,Property Management,SEG82,Tenant Management,SUB82,Example of Tenant Management,Example Metrics,Example Valuation
Real Estate & PropTech,SEC83,Property Management,SEG83,Property Analytics,SUB83,Example of Property Analytics,Example Metrics,Example Valuation
Real Estate & PropTech,SEC84,Property Management,SEG84,PropTech SaaS,SUB84,Example of PropTech SaaS,Example Metrics,Example Valuation
Media & Entertainment,SEC85,Streaming Platforms,SEG85,OTT Video,SUB85,Example of OTT Video,Example Metrics,Example Valuation
Media & Entertainment,SEC86,Streaming Platforms,SEG86,Music Streaming,SUB86,Example of Music Streaming,Example Metrics,Example Valuation
Media & Entertainment,SEC87,Streaming Platforms,SEG87,Podcasting,SUB87,Example of Podcasting,Example Metrics,Example Valuation
Media & Entertainment,SEC88,Gaming & eSports,SEG88,Mobile Gaming,SUB88,Example of Mobile Gaming,Example Metrics,Example Valuation
Media & Entertainment,SEC89,Gaming & eSports,SEG89,Console Gaming,SUB89,Example of Console Gaming,Example Metrics,Example Valuation
Media & Entertainment,SEC90,Gaming & eSports,SEG90,Game Streaming,SUB90,Example of Game Streaming,Example Metrics,Example Valuation
Media & Entertainment,SEC91,Digital Advertising,SEG91,AdTech Platforms,SUB91,Example of AdTech Platforms,Example Metrics,Example Valuation
Media & Entertainment,SEC92,Digital Advertising,SEG92,Influencer Marketing,SUB92,Example of Influencer Marketing,Example Metrics,Example Valuation
Media & Entertainment,SEC93,Digital Advertising,SEG93,Programmatic Advertising,SUB93,Example of Programmatic Advertising,Example Metrics,Example Valuation
